zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,total_price,price_log
90017,Apartment,Entire home/apt,6,1.0,1.0,3.0,Real Bed,248.0,5.513428746164983
90277,House,Entire home/apt,6,1.0,3.0,3.0,Real Bed,650.0,6.476972362889682
90292,Condominium,Entire home/apt,6,2.0,2.0,3.0,Real Bed,320.0,5.768320995793773
90019,Townhouse,Entire home/apt,6,2.0,3.0,4.0,Real Bed,292.0,5.676753802268282
90265,Villa,Entire home/apt,8,4.5,4.0,5.0,Real Bed,4375.0,8.383661798791715
90292,House,Private room,2,1.0,1.0,1.0,Real Bed,104.0,4.6443908991413725
90019,Apartment,Entire home/apt,8,1.5,3.0,3.0,Real Bed,255.0,5.541263545158426
90017,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,70.0,4.248495242049359
90017,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,50.0,3.912023005428147
90016,House,Entire home/apt,6,1.0,3.0,3.0,Real Bed,220.0,5.393627546352363
90015,Apartment,Entire home/apt,4,1.0,0.0,0.0,Real Bed,256.0,5.545177444479562
90066,Apartment,Entire home/apt,2,1.0,0.0,0.0,Real Bed,230.0,5.4380793089231965
90066,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,137.0,4.919980925828125
90292,Apartment,Private room,4,1.0,1.0,1.0,Real Bed,120.0,4.787491742782046
90015,Loft,Entire home/apt,4,2.0,2.0,2.0,Real Bed,315.0,5.752572638825632
90291,House,Entire home/apt,6,2.0,2.0,3.0,Real Bed,325.0,5.783825182329737
90057,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,110.0,4.700480365792417
90254,House,Entire home/apt,6,3.0,3.0,3.0,Real Bed,650.0,6.476972362889682
90066,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,Real Bed,195.0,5.272999558563747
90066,House,Private room,2,1.0,1.0,2.0,Real Bed,340.0,5.828945617610208
90024,Condominium,Entire home/apt,16,4.0,4.0,9.0,Real Bed,747.0,6.616065185132817
90292,Apartment,Entire home/apt,6,2.0,2.0,4.0,Real Bed,304.0,5.717027701406223
90035,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,124.0,4.820281565605037
90035,House,Entire home/apt,8,3.0,4.0,4.0,Real Bed,595.0,6.38856140554563
90035,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,120.0,4.787491742782046
90016,House,Private room,2,1.0,1.0,1.0,Real Bed,250.0,5.521460917862246
90016,House,Shared room,1,1.0,1.0,1.0,Couch,75.0,4.31748811353631
90293,House,Entire home/apt,16,5.5,6.0,7.0,Real Bed,1750.0,7.467371066917559
90034,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,230.0,5.4380793089231965
90024,House,Entire home/apt,10,2.5,3.0,11.0,Real Bed,685.0,6.5294188382622265
90232,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,400.0,5.991464547107983
90035,Apartment,Entire home/apt,6,1.5,2.0,4.0,Real Bed,284.0,5.648974238161206
90034,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,159.0,5.068904202220232
90034,House,Entire home/apt,2,1.0,0.0,1.0,Real Bed,163.0,5.093750200806762
90212,Apartment,Entire home/apt,7,1.5,3.0,3.0,Real Bed,390.0,5.966146739123692
90254,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,210.0,5.3471075307174685
90034,House,Private room,2,1.0,1.0,1.0,Real Bed,80.0,4.382026634673881
90292,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,180.0,5.1929568508902095
90016,House,Entire home/apt,6,2.0,3.0,2.0,Real Bed,255.0,5.541263545158426
90034,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,334.0,5.811140992976701
90034,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,130.0,4.867534450455582
90232,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,449.0,6.107022887742255
90278,House,Private room,4,1.0,2.0,2.0,Real Bed,225.0,5.416100402204419
90034,House,Entire home/apt,5,1.0,1.0,3.0,Real Bed,200.0,5.298317366548036
90232,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,Real Bed,120.0,4.787491742782046
90035,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,99.0,4.59511985013459
90035,Guesthouse,Entire home/apt,4,1.0,1.0,1.0,Real Bed,170.0,5.135798437050261
90025,Apartment,Entire home/apt,4,2.5,2.0,4.0,Real Bed,560.0,6.3279367837291955
90035,House,Entire home/apt,4,2.0,2.0,2.0,Real Bed,200.0,5.298317366548036
90212,Apartment,Entire home/apt,7,2.0,3.0,3.0,Real Bed,465.0,6.142037405587356
90019,Hostel,Shared room,1,8.0,1.0,4.0,Real Bed,35.0,3.555348061489413
90015,Apartment,Entire home/apt,7,2.0,2.0,3.0,Real Bed,348.0,5.8522024797744745
90006,Hostel,Shared room,1,1.0,1.0,4.0,Real Bed,43.0,3.7612001156935615
90212,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,340.0,5.828945617610208
90035,House,Entire home/apt,3,1.0,1.0,2.0,Real Bed,124.0,4.820281565605037
90024,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,163.0,5.093750200806762
90024,Apartment,Entire home/apt,6,1.5,2.0,2.0,Real Bed,545.0,6.300785794663245
90254,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,150.0,5.010635294096256
90005,House,Entire home/apt,6,1.0,1.0,2.0,Real Bed,150.0,5.010635294096256
90064,House,Shared room,2,1.0,1.0,2.0,Real Bed,84.0,4.430816798843313
90064,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,279.0,5.631211781821365
90035,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,174.0,5.159055299214528
90006,Cottage,Entire home/apt,2,1.0,1.0,1.0,Real Bed,225.0,5.416100402204419
90006,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,265.0,5.579729825986222
90064,Guesthouse,Entire home/apt,3,1.0,0.0,2.0,Real Bed,115.0,4.74493212836325
90019,House,Entire home/apt,16,2.5,7.0,7.0,Real Bed,570.0,6.345636360828596
90005,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,150.0,5.010635294096256
90232,House,Entire home/apt,6,2.0,2.0,3.0,Real Bed,242.0,5.488937726156687
90015,Apartment,Entire home/apt,6,1.0,1.0,3.0,Real Bed,227.0,5.424950017481403
90034,Guesthouse,Entire home/apt,4,1.0,1.0,2.0,Real Bed,190.0,5.247024072160486
